vendor_geohash,day,hour,per_15min,order_count,day_of_week
wsqq0,0,0,0,9.0,6
wsqq0,0,0,1,6.0,6
wsqq0,0,0,2,6.0,6
wsqq0,0,0,3,8.0,6
wsqq0,0,1,0,2.0,6
wsqq0,0,1,1,5.0,6
wsqq0,0,1,2,2.0,6
wsqq0,0,1,3,2.0,6
wsqq0,0,2,0,3.0,6
wsqq0,0,2,1,2.0,6
wsqq0,0,2,2,0.0,6
wsqq0,0,2,3,1.0,6
wsqq0,0,3,0,0.0,6
wsqq0,0,3,1,2.0,6
wsqq0,0,3,2,1.0,6
wsqq0,0,3,3,0.0,6
wsqq0,0,4,0,0.0,6
wsqq0,0,4,1,1.0,6
wsqq0,0,4,2,1.0,6
wsqq0,0,4,3,2.0,6
wsqq0,0,5,0,0.0,6
wsqq0,0,5,1,0.0,6
wsqq0,0,5,2,0.0,6
wsqq0,0,5,3,2.0,6
wsqq0,0,6,0,3.0,6
wsqq0,0,6,1,4.0,6
wsqq0,0,6,2,3.0,6
wsqq0,0,6,3,1.0,6
wsqq0,0,7,0,8.0,6
wsqq0,0,7,1,6.0,6
wsqq0,0,7,2,7.0,6
wsqq0,0,7,3,8.0,6
wsqq0,0,8,0,7.0,6
wsqq0,0,8,1,5.0,6
wsqq0,0,8,2,15.0,6
wsqq0,0,8,3,11.0,6
wsqq0,0,9,0,16.0,6
wsqq0,0,9,1,15.0,6
wsqq0,0,9,2,8.0,6
wsqq0,0,9,3,12.0,6
wsqq0,0,10,0,14.0,6
wsqq0,0,10,1,20.0,6
wsqq0,0,10,2,16.0,6
wsqq0,0,10,3,15.0,6
wsqq0,0,11,0,21.0,6
wsqq0,0,11,1,28.0,6
wsqq0,0,11,2,47.0,6
wsqq0,0,11,3,32.0,6
wsqq0,0,12,0,24.0,6
wsqq0,0,12,1,32.0,6
wsqq0,0,12,2,18.0,6
wsqq0,0,12,3,34.0,6
wsqq0,0,13,0,23.0,6
wsqq0,0,13,1,27.0,6
wsqq0,0,13,2,15.0,6
wsqq0,0,13,3,20.0,6
wsqq0,0,14,0,15.0,6
wsqq0,0,14,1,17.0,6
wsqq0,0,14,2,21.0,6
wsqq0,0,14,3,23.0,6
wsqq0,0,15,0,11.0,6
wsqq0,0,15,1,19.0,6
wsqq0,0,15,2,16.0,6
wsqq0,0,15,3,9.0,6
wsqq0,0,16,0,13.0,6
wsqq0,0,16,1,12.0,6
wsqq0,0,16,2,15.0,6
wsqq0,0,16,3,19.0,6
wsqq0,0,17,0,18.0,6
wsqq0,0,17,1,31.0,6
wsqq0,0,17,2,28.0,6
wsqq0,0,17,3,33.0,6
wsqq0,0,18,0,37.0,6
wsqq0,0,18,1,38.0,6
wsqq0,0,18,2,32.0,6
wsqq0,0,18,3,31.0,6
wsqq0,0,19,0,14.0,6
wsqq0,0,19,1,26.0,6
wsqq0,0,19,2,14.0,6
wsqq0,0,19,3,22.0,6
wsqq0,0,20,0,23.0,6
wsqq0,0,20,1,20.0,6
wsqq0,0,20,2,18.0,6
wsqq0,0,20,3,15.0,6
wsqq0,0,21,0,16.0,6
wsqq0,0,21,1,21.0,6
wsqq0,0,21,2,12.0,6
wsqq0,0,21,3,17.0,6
wsqq0,0,22,0,14.0,6
wsqq0,0,22,1,11.0,6
wsqq0,0,22,2,17.0,6
wsqq0,0,22,3,15.0,6
wsqq0,0,23,0,14.0,6
wsqq0,0,23,1,7.0,6
wsqq0,0,23,2,11.0,6
wsqq0,0,23,3,4.0,6
wsqq0,1,0,0,10.0,0
wsqq0,1,0,1,5.0,0
wsqq0,1,0,2,7.0,0
wsqq0,1,0,3,4.0,0
wsqq0,1,1,0,6.0,0
wsqq0,1,1,1,2.0,0
wsqq0,1,1,2,4.0,0
wsqq0,1,1,3,2.0,0
wsqq0,1,2,0,0.0,0
wsqq0,1,2,1,2.0,0
wsqq0,1,2,2,1.0,0
wsqq0,1,2,3,0.0,0
wsqq0,1,3,0,0.0,0
wsqq0,1,3,1,0.0,0
wsqq0,1,3,2,2.0,0
wsqq0,1,3,3,0.0,0
wsqq0,1,4,0,0.0,0
wsqq0,1,4,1,1.0,0
wsqq0,1,4,2,1.0,0
wsqq0,1,4,3,0.0,0
wsqq0,1,5,0,1.0,0
wsqq0,1,5,1,3.0,0
wsqq0,1,5,2,0.0,0
wsqq0,1,5,3,0.0,0
wsqq0,1,6,0,0.0,0
wsqq0,1,6,1,2.0,0
wsqq0,1,6,2,0.0,0
wsqq0,1,6,3,3.0,0
wsqq0,1,7,0,5.0,0
wsqq0,1,7,1,4.0,0
wsqq0,1,7,2,7.0,0
wsqq0,1,7,3,3.0,0
wsqq0,1,8,0,10.0,0
wsqq0,1,8,1,6.0,0
wsqq0,1,8,2,13.0,0
wsqq0,1,8,3,4.0,0
wsqq0,1,9,0,11.0,0
wsqq0,1,9,1,12.0,0
wsqq0,1,9,2,12.0,0
wsqq0,1,9,3,6.0,0
wsqq0,1,10,0,6.0,0
wsqq0,1,10,1,20.0,0
wsqq0,1,10,2,15.0,0
wsqq0,1,10,3,16.0,0
wsqq0,1,11,0,30.0,0
wsqq0,1,11,1,26.0,0
wsqq0,1,11,2,30.0,0
wsqq0,1,11,3,29.0,0
wsqq0,1,12,0,16.0,0
wsqq0,1,12,1,26.0,0
wsqq0,1,12,2,27.0,0
wsqq0,1,12,3,24.0,0
wsqq0,1,13,0,14.0,0
wsqq0,1,13,1,18.0,0
wsqq0,1,13,2,19.0,0
wsqq0,1,13,3,16.0,0
wsqq0,1,14,0,9.0,0
wsqq0,1,14,1,12.0,0
wsqq0,1,14,2,10.0,0
wsqq0,1,14,3,16.0,0
wsqq0,1,15,0,12.0,0
wsqq0,1,15,1,8.0,0
wsqq0,1,15,2,14.0,0
wsqq0,1,15,3,13.0,0
wsqq0,1,16,0,13.0,0
wsqq0,1,16,1,12.0,0
wsqq0,1,16,2,15.0,0
wsqq0,1,16,3,15.0,0
wsqq0,1,17,0,19.0,0
wsqq0,1,17,1,20.0,0
wsqq0,1,17,2,28.0,0
wsqq0,1,17,3,15.0,0
wsqq0,1,18,0,36.0,0
wsqq0,1,18,1,27.0,0
wsqq0,1,18,2,21.0,0
wsqq0,1,18,3,26.0,0
wsqq0,1,19,0,15.0,0
wsqq0,1,19,1,19.0,0
wsqq0,1,19,2,21.0,0
wsqq0,1,19,3,17.0,0
wsqq0,1,20,0,17.0,0
wsqq0,1,20,1,13.0,0
wsqq0,1,20,2,13.0,0
wsqq0,1,20,3,21.0,0
wsqq0,1,21,0,10.0,0
wsqq0,1,21,1,6.0,0
wsqq0,1,21,2,11.0,0
wsqq0,1,21,3,7.0,0
wsqq0,1,22,0,10.0,0
wsqq0,1,22,1,11.0,0
wsqq0,1,22,2,12.0,0
wsqq0,1,22,3,10.0,0
wsqq0,1,23,0,4.0,0
wsqq0,1,23,1,4.0,0
wsqq0,1,23,2,2.0,0
wsqq0,1,23,3,6.0,0
wsqq0,2,0,0,5.0,1
wsqq0,2,0,1,1.0,1
wsqq0,2,0,2,9.0,1
wsqq0,2,0,3,4.0,1
wsqq0,2,1,0,5.0,1
wsqq0,2,1,1,5.0,1
wsqq0,2,1,2,2.0,1
wsqq0,2,1,3,2.0,1
wsqq0,2,2,0,3.0,1
wsqq0,2,2,1,3.0,1
wsqq0,2,2,2,0.0,1
wsqq0,2,2,3,5.0,1
wsqq0,2,3,0,2.0,1
wsqq0,2,3,1,2.0,1
wsqq0,2,3,2,0.0,1
wsqq0,2,3,3,0.0,1
wsqq0,2,4,0,5.0,1
wsqq0,2,4,1,0.0,1
wsqq0,2,4,2,1.0,1
wsqq0,2,4,3,0.0,1
wsqq0,2,5,0,0.0,1
wsqq0,2,5,1,0.0,1
wsqq0,2,5,2,2.0,1
wsqq0,2,5,3,1.0,1
wsqq0,2,6,0,2.0,1
wsqq0,2,6,1,1.0,1
wsqq0,2,6,2,5.0,1
wsqq0,2,6,3,6.0,1
wsqq0,2,7,0,9.0,1
wsqq0,2,7,1,3.0,1
wsqq0,2,7,2,7.0,1
wsqq0,2,7,3,6.0,1
wsqq0,2,8,0,6.0,1
